tree   x   y   rad   votes   z_min   z_max   points
4   -6.77499   7.67173   0.075   13   3.9   4.4   65   
4   -6.74999   7.74673   0.075   9   4.4   4.9   45   
4   -6.68423   7.82173   0.075   5   4.9   5.4   14   
4   -6.84999   7.79673   0.05   5   5.4   5.9   11   
4   -6.37691   6.94678   0.025   3   16.4   16.9   6   
4   -7.01619   6.59466   0.05   4   16.9   17.4   33   
4   -7.35438   7.42508   0.075   6   17.4   17.9   106   
4   -6.84029   7.47519   0.075   5   17.9   18.4   27   
4   -7.03678   6.69416   0.05   5   18.4   18.9   42   
4   -6.68505   6.61449   0.05   4   18.9   19.4   49   
4   -7.5493   7.17652   0.05   4   19.4   19.9   27   
4   -7.35757   7.69867   0.075   4   19.9   20.4   7   
4   -7.18119   6.93541   0.025   3   20.9   21.4   14   
4   -6.53804   7.33766   0.025   3   21.4   21.9   10   
5   -4.50224   -4.92679   0.125   15   -0.6   -0.1   157   
5   -4.51837   -4.93755   0.125   22   -0.1   0.4   152   
5   -4.52098   -4.93363   0.125   18   0.4   0.9   154   
5   -4.52187   -4.92139   0.125   17   0.9   1.4   144   
5   -4.5077   -4.9293   0.125   21   1.4   1.9   138   
5   -4.50943   -4.94081   0.125   16   1.9   2.4   129   
5   -4.49148   -4.95022   0.125   16   2.4   2.9   123   
5   -4.49395   -4.91702   0.125   23   2.9   3.4   133   
5   -4.49669   -4.93259   0.125   23   3.4   3.9   120   
5   -4.49653   -4.95653   0.125   20   3.9   4.4   108   
5   -4.51137   -4.95063   0.125   16   4.4   4.9   102   
5   -4.49079   -4.93939   0.125   18   4.9   5.4   90   
5   -4.49004   -4.94967   0.125   18   5.4   5.9   83   
5   -4.45574   -4.93348   0.1   17   5.9   6.4   82   
5   -4.47399   -4.96211   0.1   14   6.4   6.9   76   
5   -4.46457   -4.91573   0.1   17   6.9   7.4   68   
5   -4.46542   -4.91138   0.1   20   7.4   7.9   66   
5   -4.46581   -4.91004   0.1   13   7.9   8.4   62   
5   -4.44471   -4.90418   0.1   15   8.4   8.9   53   
5   -4.44244   -4.8968   0.1   14   8.9   9.4   57   
5   -4.42595   -4.90838   0.1   13   9.4   9.9   55   
5   -4.41753   -4.88957   0.1   16   9.9   10.4   56   
5   -4.39082   -4.88437   0.1   12   10.4   10.9   73   
5   -4.41702   -4.89361   0.1   15   10.9   11.4   65   
5   -4.41642   -4.86397   0.1   10   11.4   11.9   77   
5   -4.37746   -4.89364   0.1   13   11.9   12.4   68   
5   -4.42465   -4.90422   0.1   10   12.4   12.9   66   
5   -4.46099   -4.86376   0.1   8   12.9   13.4   60   
5   -4.25345   -4.58392   0.1   9   13.4   13.9   84   
5   -4.38412   -4.85727   0.1   8   13.9   14.4   76   
5   -4.37817   -4.90896   0.1   8   14.4   14.9   51   
5   -4.38459   -4.86716   0.075   7   14.9   15.4   61   
5   -4.55328   -4.80567   0.075   7   15.4   15.9   42   
5   -4.52051   -4.97525   0.075   5   15.9   16.4   58   
5   -4.38903   -4.86551   0.05   4   16.4   16.9   36   
5   -4.57881   -4.8123   0.075   5   16.9   17.4   53   
